ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
00007902a7b96e8c,xclick,/m/031n1,1,0.243542,0.4345020000000001,0.805204,0.90225,0,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.0575,0.089375,0.621951,0.6510319999999999,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.07,0.11125,0.63227,0.654784,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.144375,0.188125,0.645403,0.678236,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.16625,0.208125,0.652908,0.6819890000000001,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.241875,0.289375,0.674484,0.705441,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.256875,0.310625,0.6763600000000001,0.7148220000000001,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.360625,0.428125,0.706379,0.760788,0,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.42375,0.47,0.7242029999999999,0.7570359999999999,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.43375,0.47625,0.791745,0.868668,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.544375,0.58625,0.874296,0.909006,1,0,0,0,0
0000e2205e460318,xclick,/m/031n1,1,0.5825,0.63875,0.762664,0.8142590000000001,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.37206999999999996,0.464844,0.9222100000000001,0.998873,1,1,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.476562,0.494141,0.452086,0.499436,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.496094,0.512695,0.47125100000000003,0.492672,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.5566409999999999,0.592773,0.420519,0.47688800000000003,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.6035159999999999,0.633789,0.445321,0.47688800000000003,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.692383,0.711914,0.420519,0.45772299999999994,1,0,0,0,0
00010417d07870a7,xclick,/m/031n1,1,0.710938,0.732422,0.43291999999999997,0.452086,1,0,0,0,0
00010f041a2a6fa5,xclick,/m/031n1,1,0.075047,0.211069,0.725,0.8425,0,0,0,0,0
00010f041a2a6fa5,xclick,/m/031n1,1,0.5487810000000001,0.780488,0.833125,0.926875,1,0,0,0,0
00021a200ea0bd61,xclick,/m/031n1,1,0.248125,0.76875,0.283974,0.793814,0,0,0,0,0
0002337b77943386,xclick,/m/031n1,1,0.003125,0.116875,0.593809,0.722326,0,1,0,0,0
0002337b77943386,xclick,/m/031n1,1,0.02625,0.130625,0.7148220000000001,0.9118200000000001,0,0,0,0,0
0002337b77943386,xclick,/m/031n1,1,0.13,0.225,0.668856,0.8630389999999999,1,0,0,0,0
0002337b77943386,xclick,/m/031n1,1,0.760625,0.863125,0.518762,0.683865,0,0,0,0,0
0002337b77943386,xclick,/m/031n1,1,0.8475,0.975625,0.499062,0.801126,1,0,0,0,0
0002bd92cab0f4dd,xclick,/m/031n1,1,0.569405,0.6364489999999999,0.30625,0.3625,0,0,0,0,0
0002bd92cab0f4dd,xclick,/m/031n1,1,0.666667,0.756374,0.295,0.37375,1,0,0,0,0
0002e0d9c42c2d60,xclick,/m/031n1,1,0.7214079999999999,0.90176,0.8455520000000001,0.98045,1,0,0,0,0
0002e0d9c42c2d60,xclick,/m/031n1,1,0.802053,0.998534,0.72043,0.8201370000000001,1,1,0,0,0
000384c2661cd7a0,xclick,/m/031n1,1,0.129375,0.195,0.697822,0.778584,0,0,0,0,0
0005cf643849681f,xclick,/m/031n1,1,0.510938,0.6,0.84375,0.9578120000000001,0,0,0,0,0
0005cf643849681f,xclick,/m/031n1,1,0.58125,0.682813,0.8703129999999999,0.9640629999999999,0,0,0,0,0
000667c910812879,xclick,/m/031n1,1,0.200625,0.24875,0.779786,0.8455219999999999,1,0,0,0,0
000667c910812879,xclick,/m/031n1,1,0.236875,0.29875,0.785538,0.8496299999999999,0,0,0,0,0
00078d9de5011c3b,xclick,/m/031n1,1,0.576667,0.663333,0.76,0.81625,0,0,0,0,0
0007a0dde58cd382,xclick,/m/031n1,1,0.315,0.463333,0.7825,0.921667,1,0,0,0,0
0007a0dde58cd382,xclick,/m/031n1,1,0.3525,0.535,0.795,0.938333,0,0,0,0,0
0007c911c52c1324,xclick,/m/031n1,1,0.29268299999999997,0.363977,0.636875,0.688125,1,0,0,0,0
0007c911c52c1324,xclick,/m/031n1,1,0.716698,0.8086300000000001,0.733125,0.785625,0,0,0,0,0
0008cc66310fdc96,xclick,/m/031n1,1,0.501875,0.534375,0.5283329999999999,0.600833,1,0,0,0,0
0008cc66310fdc96,xclick,/m/031n1,1,0.52625,0.56125,0.5275,0.618333,1,0,0,0,0
0009076f425e1b5c,xclick,/m/031n1,1,0.3075,0.423333,0.795625,0.833125,1,0,0,0,0
0009076f425e1b5c,xclick,/m/031n1,1,0.400833,0.453333,0.783125,0.8275,1,0,0,0,0
0009b55a07465460,xclick,/m/031n1,1,0.721875,0.78,0.8621969999999999,0.8864059999999999,1,0,0,0,0
0009b55a07465460,xclick,/m/031n1,1,0.723125,0.8075,0.8621969999999999,0.92365,1,0,0,0,0
0009c63fe2efc72b,xclick,/m/031n1,1,0.306875,0.351875,0.824167,0.845833,1,0,0,0,0
0009c63fe2efc72b,xclick,/m/031n1,1,0.33875,0.418125,0.791667,0.851667,0,0,0,0,0
0009fdf4766deb4e,xclick,/m/031n1,1,0.41,0.47,0.652246,0.680532,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.155655,0.202688,0.813772,0.879499,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.19037,0.265398,0.8059470000000001,0.8685450000000001,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.322508,0.38409899999999997,0.765258,0.907668,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.370661,0.43673,0.8419409999999999,0.9280120000000001,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.5912649999999999,0.637178,0.8356809999999999,0.907668,1,0,0,0,0
000bc75d38907c78,xclick,/m/031n1,1,0.723404,0.779395,0.8685450000000001,0.9201879999999999,1,0,0,0,0
000c9f47602b99ed,xclick,/m/031n1,1,0.70028,0.7843140000000001,0.8075,0.84875,1,0,0,0,0
000c9f47602b99ed,xclick,/m/031n1,1,0.727358,0.849673,0.8275,0.906875,0,0,0,0,0
000db8328068a829,xclick,/m/031n1,1,0.188125,0.230625,0.095,0.120833,1,0,0,0,0
000db8328068a829,xclick,/m/031n1,1,0.285625,0.323125,0.07,0.0925,1,0,0,0,0
000db8328068a829,xclick,/m/031n1,1,0.334375,0.36,0.07083300000000001,0.093333,1,0,0,0,0
0010636567c3193d,xclick,/m/031n1,1,0.135076,0.287582,0.776642,0.8598540000000001,0,0,0,0,0
0010636567c3193d,xclick,/m/031n1,1,0.24836599999999998,0.350763,0.7343069999999999,0.783942,1,0,0,0,0
0010729972da6b48,xclick,/m/031n1,1,0.628125,0.696875,0.796875,0.835938,1,0,0,0,0
0010729972da6b48,xclick,/m/031n1,1,0.8421879999999999,0.9421870000000001,0.617188,0.7125,0,0,0,0,0
0010df6f90310bdd,xclick,/m/031n1,1,0.068674,0.11006600000000001,0.755625,0.79125,1,0,0,0,0
0010df6f90310bdd,xclick,/m/031n1,1,0.16933199999999998,0.2257760000000001,0.75875,0.783125,1,0,0,0,0
